Name,Description,Est. Value,Rarity,Weight,Category,Properties,Requirements,Author,Rarity Number
Cloth-of-gold Vestments,These holy garments are made of silk interwoven with gold threads.,25. gp,Mundane,3,Treasure,,,DMG,1
Comb,A small wooden comb.,0.2 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Cooking Pot,A cast iron cooking pot. It smells like it was last used for soup.,0.2 gp,Mundane,2,Treasure,,,Uberbeard,1
Copper Acorns,"Heavy, solid copper acorns with perfect natural detail.",1. gp,Mundane,2,Treasure,"These acorns drop from the oak-like trees that sprout on the graves of Copper Dragons. They can be lethal when falling, often embedding themselves in the ground.",,/u/gimme_some_sunshine,1
Copper Chalice,A small copper chalice with a silver filigree.,25. gp,Mundane,1,Treasure,,,DMG,1
Crowbar,Using a crowbar grants advantage to Strength checks where the crowbar’s leverage can be applied.,2. gp,Mundane,5,Adventuring Gear,,,PHB,1
Crude Box,"A wooden box. Carved by someone who has had no formal training in woodworking, and it shows.",0.15 gp,Mundane,1,Treasure,,,Uberbeard,1
Crude Holy Symbol,A crudely carved wooden holy symbol.,0.5 gp,Mundane,1,Treasure,,,Uberbeard,1
Crude Pipe,A crudely carved wooden pipe.,0.15 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Curious Powder Box,Metal box of unidentifiable powder.,0.5 gp,Mundane,2,Treasure,,,Unknown,1
Dead Fey,"A long-dead fey, dried and petrified as a trophy and hanging from ceiling.",5. gp,Mundane,120,Treasure,,,Unknown,1
Deer Bust,"The mounted head of a deer, it's impossibly massive horns have broken in places.",5. gp,Mundane,7,Treasure,,,Unknown,1
Demon's Vale Wine,A one-gallon cask of Demon’s Vale Wine; a fiery red wine known to be made from hot peppers.,10. gp,Mundane,10,Treasure,,,Unknown,1
Dice (6 Sided),A six sided dice. Probably used in some silly tabletop game.,0.15 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Dinosaur Bacon,"18 dried rashers of meat, possibly the largest rashers you have ever seen. They are wrapped in a sheep bladder cloth which has been labelled ""THUNDERER MEAT"" in large, rough handwriting.",10. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Dire Bat Wings,"Hanging from a drying rack are two large Dire Bat wings. It is unclear how long they have been seperated from the rest of the bat, but they are in good condition and could potentially be used as a crafting material.",2. gp,Mundane,4,Treasure,,,Uberbeard,1
Disk of Balance,"A disk of finely polished stone. On one side, the Elvish rune for death is inscribed in blackest obsidian. Upon the other, the Dwarven rune for life is inscribed in the palest ivory.",4. gp,Mundane,n/a,Treasure,,,Unknown,1
Weight Training Equipment,"The party finds a complete set of bronze and carved stone weight training equipment issued to the 4th army of some Ancient Empire. There is an inscription in one of the weights that reads ""Dost thou even lift, brother?""",20. gp,Mundane,200,Treasure,,,Unknown,1
Dried Flower,A flower that has been dried out to preserve it.,0. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Dust Ruby,"A ruby the size of a man’s fist which sparkles and gleams with the promise of untold wealth in the faintest of lights, but which crumbles to dust upon the lightest touch.",0. gp,Mundane,n/a,Treasure,,,Unknown,1
Electrum Bracer,An archer’s bracer of leather and electrum.,2.5 gp,Mundane,1,Armor,,,PlatypusPal,1
Leather Ball,A leather ball stuffed with chicken feathers. On a DC 15 peception check the player can find an electrum ring amongst the feathers.,3.5 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Empty Vial,"An empty vial, just waiting to be filled with something more valuable than itself.",0.35 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Eye Agate Gem,This simple agate gem has translucent circles of white dotted around its surface which bring to mind the image of an eye.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Fat Cat Statue,"A life sized copper statue of a fat cat with amber eyes that purrs when stroked. Curiously, it does not detect as magic.",5. gp,Mundane,2,Treasure,,,Unknown,1
Fine Cheese,"A 5’ diameter wheel of fine, aged cheese",0.5 gp,Mundane,4,Treasure,,,Uberbeard,1
Fishing Tackle,Useful for catching fish.,1. gp,Mundane,n/a,Adventuring Gear,,,PHB,1
Flesh Shield,A small wooden shield bound in human skin bearing a tattoo that appears to be some sort of map. The skin is held in place with a rim of beaten copper.,7. gp,Mundane,6,Armor,Provides +2 AC,,Unknown,1
Flint & Steel,A carved steel striker and a piece of shaped flint that allows the user to start a fire.,0.3 gp,Mundane,n/a,Treasure,,,PHB,1
Fool's Gold,"A handheld water pan with a number of chunks of pyrite in it, otherwise known as ""Fool's Gold"". You might be able to convince someone that these nuggets are real gold, but not for very long.",0.5 gp,Mundane,1,Treasure,,,Uberbeard,1
Fragrant Torches,"A bag containing 1d8 torches infused with pleasant fragrances. This may have been owned by a tanner, to cover the overwhelming stench of tannin that is used in the leathermaking process.",4. gp,Mundane,2,Treasure,,,Uberbeard,1
Frolee's Guide to Follicle Perfection,"A wizard called Frolee appears to have mass produced a five page guide to mustaches and beards. It has a unique, hairy cover made out of bearskin.",2. gp,Mundane,1,Book,,Language: Common,PlatypusPal,1
Garlic,A wreath of eight garlic buds.,0.2 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Gem,A teal gem.,1. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Gem of Azurite,A small Azurite gem. It is opaque and a deep mottled blue in colour.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Glass Sphere,A 14 inch diameter sealed glass sphere containing water and an ornamental fish.,3. gp,Mundane,8,Treasure,,,Uberbeard,1
Glittering Glass,A sparkling handful of raw gems.,0.01 gp,Mundane,n/a,Treasure,These convincing rocks are actually made of a river-tumbled glassy stone that is said to form from the aftermath of elemental turmoil.,,/u/gimme_some_sunshine,1
Glitternight Dust,This is a tiny jar of glitternight dust. (a narcotic),3. gp,Mundane,1,Treasure,,,,1
Glow Stone,A small green stone that gives off a feint light that's practically imperceptable in anything other than pitch black darkness. It could be used as a marker or a light source in a pinch.,2. gp,Mundane,n/a,Treasure,Provides dim-light for a 5 foot radius.,,,1
Goat Jerky,A pound of goat jerky.,0.2 gp,Mundane,1,Treasure,,,,1
Gold Bracelet,A small gold bracelet. It's design is plain so as to be appropriate for anyone.,25. gp,Mundane,n/a,Treasure,,,DMG,1
Gold Locket,A charming golden locket with a painted portrait inside.,25. gp,Mundane,n/a,Treasure,,,DMG,1
Hammer,"A crosspeen hammer forged from steel. It has a gently crowned flat face that has been hardened and tempered for toughness. The handle is hand carved ash, flame treated and oiled.",1. gp,Mundane,3,Adventuring Gear,,,PHB,1
Hand Mirror,,2. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Hematite,A rather dull gray-black hematite gem with the remains of a necklace fasten on its back.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Holy Bones,A reliquary containing the bones of an ancient holy man,0. gp,Mundane,2,Treasure,,,,1
Holy Book,"An old tome, written for the clergy of Pelor. It has a stiff leather dust jacket which has been worn down on the spine and a broken clasp once used to attach a chain",4. gp,Mundane,1,Book,,Language: Common,Uberbeard,1
Holy Ice Symbol,"An ornate block of ice carved into an ancient holy symbol. The carving has a subtle taint of magic to it, but it's not exactly clear what prevents it from melting.",400. gp,Uncommon,2,Treasure,,,,3
Holy Symbol,A wooden holy symbol. ,0.25 gp,Mundane,n/a,Adventuring Gear,,,Uberbeard,1
Honey,A quart of honey.,1. gp,Mundane,n/a,Treasure,,,,1
Honeysuckle Potion,"A small, crystal vial of a clear, viscous liquid that smells strongly of honeysuckle.",4. gp,Mundane,n/a,Potion,Drinking this potion will heal a character 1d4 - 1 health.,,Uberbeard,1
Hope Chest,"A delicately carved hope chest of polished cherry wood. The box contains nothing but a remarkably fine, gray sand drawn from some unknown locale. Beneath the new moon, this sand glows a faint blue.",10. gp,Mundane,30,Treasure,,,,1
Inhalation Herbs & Essences,"Inhalation herbs & essences provide natural healing remedies for all manner of symptoms such as headaches, colds and flu.",0.2 gp,Mundane,2,Treasure,,,,1
Ink,"A vial of black ink, for use with a quill.",0.6 gp,Mundane,n/a,Treasure,"When unstoppered underwater, this item causes an inky cloud to fill a 10′ cubic area which lasts for the duration of the room. It effectively renders all characters and monsters in the area obscured from ranged attacks.",,Uberbeard,1
Iron Buckle,An iron belt buckle that's beginning to rust.,0.03 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Iron Earring,An iron earring. Missing it's twin.,0.1 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Iron Nail,"A large iron nail, useful for fixing things together.",0.03 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Iron Spike,"A large iron spike, useful for fixing heavy items together.",0.35 gp,Mundane,1,Treasure,,,Uberbeard,1
Iron Torc,"An iron torc with six small silver figurines: A hare, a horse, a spear, a wolf’s head, a simple circle, and an oak tree.",9. gp,Mundane,n/a,Treasure,,,,1
Ivory Peg Leg,Whale ivory leg prosthetic,5. gp,Mundane,2,Treasure,,,,1
Jar o' Eyeballs,"A jar containing six eyeballs (2 human, 1 goblin, 1 ogre, 1 worg, and 1 hawk) in a clear liquid.",2. gp,Mundane,1,Treasure,,,,1
Jerked Meats,½ of jerked meat,0.1 gp,Mundane,0.5,Treasure,,,,1
Keg o' Nails,A 35 lb keg of iron nails,2. gp,Mundane,35,Treasure,,,,1
Knee Breeches,"A pair of bear fur knee breeches, slightly worn from having been used when horse riding.",1. gp,Mundane,2,Treasure,,,,1
Lantern,,,Mundane,1,Adventuring Gear,A Lantern provides bright light within a radius of 10 squares.  The light lasts 8 hours per pint of oil.,,Uberbeard,1
Lapis Lazuli Gem,"A gem of lapis lazuli, dark blue in colour with light yellow flecks.",10. gp,Mundane,n/a,Treasure,,,DMG,1
Large Pile of Coal,"A large pile of coal. Two small, rough diamonds are hidden near the bottom. (20gp, 25 gp)",,Mundane,,Treasure,,,,1
Lead Coins,Satchel of gold painted lead coins.,0.1 gp,Mundane,1,Treasure,,,,1
Leather Quiver,,,Mundane,4,Treasure,,,Uberbeard,1
Leather Satchel,,,Mundane,1,Treasure,,,Uberbeard,1
Little Riding Hood,"A bright red hooded cape sized for a child, spattered with dried blood.",1. gp,Mundane,1,Treasure,,,,1
Lynx Eye Gem,"Lynx eye is a specific type of labradorite (a feldspar gemstone). Labradorite as a class of stones is pale to dark gray and has patches of colored reflections. This ""flash"" is most commonly blue but can be of all shades. ""Green Flash"" labradorite is called lynx eye in the Realms.	",10. gp,Mundane,n/a,Treasure,,,BGII,1
Lynx Eye Gem,"Lynx eye is a special type of labradorite. It is pale to dark grey and has patches of coloured reflections. This ""flash"" is most commonly blue but can be of all shades. ""Green Flash"" labradorite is called Lynx Eye in the local regions.",10. gp,Mundane,n/a,Treasure,,,Baldur's Gate,1
Magical Ring of Engagement,Someone used this to get married,10. gp,Mundane,n/a,Ring,,,,1
Magnifying Glass,,2. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Malachite Gem,A large malachite gem. It is striated light and dark green across its polished surface.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Man Mask,"A mask carved to look like the face of a man, but which has been fitted for something wholly other.",1. gp,Mundane,,Treasure,,,,1
Mechanical Mice,"Mechanical mice which run through the walls of an ancient keep. They have done so for longer than written record can attest. They seem to be a benign presence – lacking even the slightest pestilent qualities of their flesh-and-blood counterparts – and have become an accepted presence here. Who their creator was, how they are fueled, and what purpose they serve (if any) are mysteries which may never be solved.",,Mundane,,Wondrous Item,,,,1
Mistletoe,D3 sprigs of mistletoe,10. gp,Mundane,,Treasure,,,,1
Moss Agate Gem,A beautiful moss agate gem. It is a translucent pink with a mossy gray texture.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Net,An unused fishing net made out of spun mammoth hairs.,0.5 gp,Mundane,3,Treasure,,,Uberbeard,1
Obsidian Gem,A small opaque black gem.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Oil,A flask of oil suitable for use in a lantern. ,0.5 gp,Mundane,1,Adventuring Gear,"Enough to last for 48 hours. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",,Uberbeard,1
Old Hat,A ragged old hat with a moth eaten brim.,0.03 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Old Pouch,"An old pouch. Works as any pouch might, but it has a hole in it.",0.15 gp,Mundane,n/a,Adventuring Gear,"Every day, player loses 1d4 of any small object stored in the pouch.",,Uberbeard,1
Old Round Shield,"Father’s old round shield, beneath the boss is the sigil of ______, valiant conduct by the bearer may draw the eye of the God.",1. gp,Mundane,,Armor,,,,1
Old Saddlebag,A rotten saddlebag with a few coins spilling out. The copper coins have some verdigris and the silver coins are badly tarnished.,2. gp,Mundane,n/a,Treasure,,,,1
Old Wheelbarrow,A rotting wheelbarrow holding 167 torches.,1.6 gp,Mundane,,Treasure,,,,1
Parchment,A spare bit of parchment.,0.35 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Pick Axe,"A straight wooden handle with a curved iron pick useful for breaking up rocky surfaces or hard earth. It would not make for an effecitve weapon, but without the head the handle would make for a rudimentary club.",2. gp,Mundane,10,Treasure,1d4 Bludgeoning - Simple - Light,,Uberbeard,1
Playing Cards,A classic 52 card set of playing cards.,0.5 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Potpourri,A fragrant bowl of potpourri.,0.05 gp,Mundane,1,Treasure,,,Uberbeard,1
Rhodochrosite Gem,This rhodochrosite gem is a light pink colour and shaped to resemble a small heart.,10. gp,Mundane,n/a,Treasure,,,DMG,1
River Stone,A stone that has been worn down to a smooth finish. Probably from a river bed.,0. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Rope,100’ of rope,,Mundane,,Adventuring Gear,,,,1
Saw,,0.3 gp,Mundane,4,Treasure,,,Uberbeard,1
Scroll Case,,1. gp,Mundane,1,Treasure,,,Uberbeard,1
Silk Handkerchief,This silk handkerchief is embroidered with a pale pink pattern.,25. gp,Mundane,n/a,Treasure,,,DMG,1
Silver Ewer,A large jug with a wide mouth coated in silver.,25. gp,Mundane,1,Treasure,,,DMG,1
Small Mirror,A slightly dirty mirror set in a painted wooden frame.,25. gp,Mundane,4,Treasure,,,DMG,1
Soap,"Some fresh, waxy soap. It smells faintly of lavender.",0.15 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Spork of Positive Reinforcement,"that says encouraging things like ""Everything's GREAT!"" and ""Your body temperature is squarely within normal human range!""",,Mundane,,Wondrous Item,,,,1
Steel Chain,A steel chain measuring 1 foot long.,0.75 gp,Mundane,1,Treasure,,,Uberbeard,1
Steel Lockbox,,10. gp,Mundane,10,Treasure,,,Uberbeard,1
Threatening Probe,"Has no function, but glows and vibrates in a way that suggests it could be used for distributing extreme pain. ",,Mundane,,Wondrous Item,,,,1
Tiger Eye Gem,Translucent brown with a bright golden center.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Tin Cup,A tin drinking cup.,0.1 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Tinderbox,A full tinderbox.,0.15 gp,Mundane,1,Treasure,,,Uberbeard,1
Tobacco,A small amount of tobacco wrapped in a large soft leaf.,0.15 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Torch,A short stick with oil-soaked cloth wrapped around one end so it can burn as a torch.,0.2 gp,Mundane,n/a,Adventuring Gear,,,Uberbeard,1
Turquoise Gem,"Turquoise is an opaque aqua stone with darker mottling, and is found in the more arid reaches of the Realms. Horsemen will often place a sliver of this stone in a horse's harness as a sign of good luck.	",10. gp,Mundane,n/a,Treasure,,,DMG,1
Unreadable Note,A paper note that's been left on a damp floor. It's completely illegible.,0. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Used Whetstone,"An old whetstone and a half-used vial of oil. The stone itself is ever-so-slightly worn into a curve from years of use, but it will be decades before it's wear renders it useless.",0.15 gp,Mundane,n/a,Adventuring Gear,,,Uberbeard,1
Vanishing Ring,,0. gp,Mundane,n/a,Ring,"After half a day of wearing this ring, it disappears completely and is not found again.",,/u/SPYROHAWK,1
Walking Stick,A wooden walking stick.,0.15 gp,Mundane,0.5,Treasure,,,Uberbeard,1
Wasplight Lantern,A dozen glow wasps in a round wire cage with handle. Equal to a torch light at night. Require food and water daily.,,Mundane,,Treasure,,,Uberbeard,1
Waterskin,A waterskin made from a sheep's bladder.,0.2 gp,Mundane,1,Adventuring Gear,,,PHB,1
Weighted Die (6 Sided),A weighted dice.,0.5 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Whistle,A small wooden whistle.,0.5 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Wolf Pelt,A grey and white wolf pelt.,0.5 gp,Mundane,3,Treasure,,,Uberbeard,1
Wooden Board,"A weather worn wooden board, inscribed with patterns which make it clear that it was once used for a game whose rules have long since been lost to time.",,Mundane,,Treasure,,,,1
Wooden Spike,"A long wooden spike, used to fix soft items together or kill vampires while they sleep.",0.15 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Wormrose Incense,,,Mundane,n/a,Treasure,,,Uberbeard,1
Wormscrape,A narcotic made from the petal of a wormrose flower.,5. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Raisins,½ tin of raisins.,0.1 gp,Mundane,,Treasure,,,,1
Club,"A crude club made to clobber animals and people alike, carved roughly from a thick cedar branch.",0.1 gp,Mundane,2,Weapon,1d4 Bludgeoning - Simple - Light,,Uberbeard,1
Quarterstaff,A length of stoud wood ranging six to nine feet in length and shod with metal at both ends.,0.2 gp,Mundane,4,Weapon,1d6 Bludgeoning - Simple - Versatile (1d8),,Uberbeard,1
Sickle,A farming tool that can be used as a weapon if needed. It has a long curved blade attached to a short wooden handle.,1. gp,Mundane,2,Weapon,1d4 Slashing - Simple - Light,,Uberbeard,1
Thunderstone Amulet,"A small chain with flint stone in the shape of a triangle hanging from it. Popular tradition states that this is a ""Thunderstone"", a rock that has fallen from the sky during a storm. The fact that is resembles a primitive axe head, however, may fall upon deaf ears. ",0.2 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Soup Ladel,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.",0.2 gp,Mundane,1,Weapon,1d4 Bludgeoning - Light,,BOTW,1
Farming Hoe,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.",0.2 gp,Mundane,4,Weapon,1d4 Bludgeoning - Two-Handed,,Uberbeard,1
Boat Oar,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.
",0.2 gp,Mundane,6,Weapon,1d4 Bludgeoning - Two-Handed,,Uberbeard,1
Wooden Mop,"Just a mop to the untrained eye, it excels at tidying up the place. But it owes its sturdy construction to a true craftsman, so it actually has some combat merit.",0.2 gp,Mundane,2,Weapon,1d4 Bludgeoning - Two-Handed,,Uberbeard,1
Farming Pitchfork,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,0.2 gp,Mundane,6,Weapon,1d4 Piercing - Two-Handed,,Uberbeard,1
Fishing Harpoon,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,0.4 gp,Mundane,4,Weapon,1d6 Piercing - Versatile (1d8) - Thrown (Range: 20/60),,Uberbeard,1
Silver Chalice,"A finely made silver chalice etched in arcane symbols. An arcane check will find no trace of magic, however, and it may be that these are simply aesthetic.",7. gp,Mundane,1,Treasure,,,Unknown,1
Silver-tipped Quill,A silver-tipped quill with an elaborate white feather.,7. gp,Mundane,n/a,Treasure,,,Unknown,1
Smuggler's Dagger,"A broad dagger with a hilt that can be unscrewed. The space revealed is sufficient to hold up to 25 coins, and currently holds 10 gold coins and 15 silver coins.",15. gp,Mundane,1,Weapon,"1d4 Piercing - Finesse, Light - Range: 20/60",,,1
Marbles,,,Mundane,n/a,Trap,,,Uberbeard,1
Dead Rat,"An old dead rat. It has begun to decay, and eminates an unpleasant smell.",0. gp,Mundane,1,Treasure,,,Uberbeard,1
Hourglass,,,Mundane,n/a,Adventuring Gear,,,PHB,1
Garotte Wire,"The Garrote Wire can only be used on a medium or small creature while the user has advantage on the attack roll. On hit, the target takes 1d4 slashing damage and is grappled. Until the grapple ends, the target cannot breath and begins to choke, and the user has advantage on attack rolls against it.",2. gp,Mundane,n/a,Weapon,1d4 Slashing - Finesse - Light - Two-Handed,,u/LeBlondes,1
Two-Sided Die,"This perculiar dice is made out of copper and has two sides. Engraved on one side is the portrait of a long forgotten ruler, on the other is an ornate two headed chimera. Useful for making decisions. Doesn't roll well.",1. gp,Mundane,1,Treasure,,,Uberbeard,1
Mudbrick Chocolate,"Well, it's brown, but that doesn't necessarily make it chocolate. Still, at least its sweet. In an unusual and repugnant way.",1. gp,Mundane,n/a,Treasure,,,Fable II,1
"""Eau D'Ogre"" Perfume",Someone has managed to cram all the stench of an Ogre into one reeking bottle. Why? The world may never know. No human should ever willingly apply this to their body or attire.        ,0.5 gp,Mundane,n/a,Treasure,,,,1
Pie Bombs,"Three jet black spheres, about the size of an apple, that smell distinctly of cooked pastry. ",20. gp,Common,1,Wondrous Item,"If thrown (or dropped) with force, each sphere will magically transform into a large pie. The subsequent effect is similar to having thrown a pie at someone, only a lot more unexpected.",,Unknown,2
Bale of Furs,A large bale of rare furs.,40. gp,Common,20,Treasure,,,Uberbeard,2
Dehydrated Homunculi,"A dried out and preserved homunculus. This one is a winged humanoid creature, similar to a small gargoyles or tiny demon. It's eye have been replaced with beads and it is stiff and unmoving.",20. gp,Common,2,Treasure,,,,2
Draining Dagger,A simple silver dagger with a blood line that runs down the center of the blade to drain its victim’s blood.,5. gp,Common,1,Weapon,"1d4 Piercing - Finesse, Light - Range: 20/60",,Uberbeard,2
Malachite Bracelet,A thin malachite bracelet with a silver clasp.,6. gp,Common,n/a,Treasure,,,,2
Bookstand,"A 5 ft. tall book stand in maple-wood, the front of which is carved into the likeness of three intertwined foxes. ",6. gp,Common,30,Treasure,,,,2
Bountiful Spade,,,Common,,Wondrous Item,1d4 Bludgeoning - Simple,,,2
Dire Barnacle,"Three vicious little mollusks (1hp, Armour 1) that explode in a 2m blast (d8) when killed. ",,Common,,Wondrous Item,,,,2
Firestone Gem,"This gem normally looks like quartz, but if allowed to absorb heat will change in color to resemble a bright orange garnet. When smashed against something, it is drained of color and will light that thing on fire",,Common,,Wondrous Item,,,,2
Mysterious Ivory Figurine,"An age-worn ivory figurine, which, nonetheless, bears an uncanny resemblance to a young woman the characters have just met.",,Common,,Treasure,,,,2
Nymph Statuette,"A foot-high bronze statuette of a pair of entwined nymphs, dancing.",8. gp,Common,,Treasure,,,,2
Old Boot,An old boot filled with chunks/flakes of silver-bearing quartz ore.,50. gp,Common,,Treasure,,,,2
Ornate Axe Head,An unhafted axe head of exceptional craftsmanship. It’s faces are inlaid with a faience scene showing a crowd of human villagers throwing a Halfling down a well.,50. gp,Common,,Treasure,"1d6 Slashing - Simple - Light, Thrown - Range: 20/60",,,2
Ornate Smoking Pipe,An ivory and copper smoking pipe with stale tobacco inside.,4. gp,Common,n/a,Treasure,,,,2
Ornate Wooden Leg,"A wooden leg, carved to appear as a standing leopard with green agate eyes. (Agates: 4gp each; the whole leg, with eyes: 10gp)",10. gp,Common,,Treasure,,,,2
Phoenix Egg,"""Phoenix Egg"" from a peddler in the City of Brass. After consulting with a few scholars, he later found that (at least in my world lore) Phoenixes are born of primal energy and not hatched, and that he had in fact purchased a very large jar of Alchemist's Fire.",,Common,,Treasure,,,,2
Piglet,A piglet.,,Common,,Treasure,,,,2
Poison Dagger,Refillable curved poison dagger,,Common,1,Weapon,"1d4 Piercing - Finesse, Light - Range: 20/60",,,2
Poisoned Throwing Needles,Pouch of poisoned throwing needles (see dagger damage & dart range),,Common,,Weapon,"1d4 Piercing - Finesse, Light - Range: 20/60",,,2
